,building,walkMbta,numCraigslistHouse,walkUniversity,house,numCraigslistRoom,sky,lake,crime,person,walkSchool,car,walkPark,grass,sidewalk,road
105,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
106,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
107,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
108,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
109,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
110,0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75
111,0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745
112,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
113,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
114,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
115,0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0
116,0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75
117,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
118,0,1,0,0,0,0,0,0,6,0,11,0,7,0,0,0
119,0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745
120,0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0
121,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
122,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
123,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
124,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
125,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
126,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
127,0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745
128,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
129,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
130,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
131,0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703
132,0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703
133,0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703
134,0,4,0,6,0,0,0,0,3,0,10,0,29,0,0,0
