,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky
16,0,0,0,0,0,0,0,10704800,0,0,0,0,0,0,0,5,0,7,0,260.9,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81
18,0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04
19,0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04
20,0,0.366,0.9,0.988,0,0,0.028,13676500,0,0,0,0,0,0.543,0,0,0,36,11,197,0.028,14.75,0,51,22,0.701,0,0,0.075,0.593,0,0.081,0,0.057,0,0,0,67.45
21,0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81
22,0,0,43.3,3.583,0,2.257,4.928,18049700,0,0,0,0,0,0,1.742,5,0,11,0,212.2,4.928,2.022,0.39,10,0,2.738,0,0.017,0.653,2.387,0.022,0.075,1.17,0,0,0,0,10.64
23,0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16
24,0,0.035,50.87,1.745,0,0.514,2.51,258957439,0,0,0,0,0,0,0,14,0,22,6,0,2.51,4.223,0,38,14,2.564,0,0,0.116,1.925,0,0.04,1.297,0,0,0,0,23.75
25,0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81
26,0,0,78.58,2.886,0,1.597,0.069,320842900,0,0,0,0,0,0,0,4,0,32,12,1791.75,0.069,0,0.178,54,24,3.701,0,0,0,2.011,0,0.357,0,0,0.015,0,0,2.666
27,0,0,78.58,2.886,0,1.597,0.069,320842900,0,0,0,0,0,0,0,4,0,32,12,1791.75,0.069,0,0.178,54,24,3.701,0,0,0,2.011,0,0.357,0,0,0.015,0,0,2.666
28,0,0.035,50.87,1.745,0,0.514,2.51,258957439,0,0,0,0,0,0,0,14,0,22,6,0,2.51,4.223,0,38,14,2.564,0,0,0.116,1.925,0,0.04,1.297,0,0,0,0,23.75
29,0,0,0,0,0,0,0,10704800,0,0,0,0,0,0,0,5,0,7,0,260.9,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.035,50.87,1.745,0,0.514,2.51,258957439,0,0,0,0,0,0,0,14,0,22,6,0,2.51,4.223,0,38,14,2.564,0,0,0.116,1.925,0,0.04,1.297,0,0,0,0,23.75
31,0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16
32,0,0.007,47.61,1.75,0,1.369,11.12,216805996,0,0,0,0,0,0,0,11,0,29,10,0,11.12,0.391,0,41,19,4.051,0,0,0,3.799,0,0.352,0.115,0,0,0,3,27.67
33,0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04
34,0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81
35,0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81
36,0,0.018,23.85,7.066,0,1.619,0.236,120456350,0,0,0,0,0,0.224,0,3,0,21,3,0,0.236,5.788,0.27,35,5,2.553,0,0,0,2.429,0,0.248,0.707,0.15,0,0,0,13.28
