,index,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQFT,SQM,Price,PricePerSQM
23,39.0,0.0,0.0,60.99,2.671,0.0,2.116,6.639,142585895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,32.0,10.0,0.0,6.639,1.739,0.053,51.0,20.0,4.167,0.0,0.0,0.099,0.349,0.0,0.096,0.0,0.0,0.0,0.0,0.0,18.16,42.357727,-71.065384,889,2108.0,1.0,1.0,670.0,62.24501,2450.0,39.3605848887
24,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10704800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,260.9,0.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.252857,-71.11705,975,2108.0,1.0,1.0,575.0,53.419225,2950.0,55.2235641756
25,41.0,0.0,0.035,50.87,1.745,0.0,0.514,2.51,258957439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,22.0,6.0,0.0,2.51,4.223,0.0,38.0,14.0,2.564,0.0,0.0,0.116,1.925,0.0,0.04,1.297,0.0,0.0,0.0,0.0,23.75,42.358063,-71.06974,2704,2108.0,2.0,2.0,850.0,78.96755,3200.0,40.5229743103
26,45.0,0.0,0.0,37.65,1.242,0.0,0.694,0.02,216929815.0,0.0,0.0,0.0,0.0,0.0,0.804,0.0,35.0,0.0,34.0,12.0,965.3,0.02,9.99,0.0,56.0,24.0,0.016,0.0,0.0,0.0,9.59,0.0,1.123,0.0,0.0,0.0,0.0,0.0,24.04,42.35554,-71.06136,104,2108.0,2.0,3.0,3435.0,319.121805,12000.0,37.6031966854
27,46.0,0.0,0.004,34.12,0.217,0.0,4.409,22.56,173725104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,31.0,6.0,145.0,22.56,0.0,0.0,34.0,18.0,1.013,0.0,0.0,0.175,2.47,0.0,0.068,0.078,0.952,0.0,0.0,0.0,27.81,42.356773,-71.06997,540,2108.0,2.0,1.0,750.0,69.67725,3850.0,55.2547639294
28,47.0,0.0,0.004,34.12,0.217,0.0,4.409,22.56,173725104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,31.0,6.0,145.0,22.56,0.0,0.0,34.0,18.0,1.013,0.0,0.0,0.175,2.47,0.0,0.068,0.078,0.952,0.0,0.0,0.0,27.81,42.35678,-71.069984,703,2108.0,2.0,1.0,750.0,69.67725,3850.0,55.2547639294
29,49.0,0.0,0.005,11.29,5.07,0.0,0.0,0.298,84790141.0,0.0,0.0,0.0,0.661,0.0,0.09,0.0,0.0,0.0,33.0,8.0,0.0,0.298,17.96,0.0,43.0,20.0,0.093,0.0,0.0,0.0,2.768,0.0,0.201,0.0,0.44,0.0,0.0,0.0,49.75,42.35764,-71.06825,2314,2108.0,3.0,3.0,2200.0,204.3866,8900.0,43.5449290707
30,51.0,0.0,0.0,89.47,3.715,0.0,0.743,0.0,269677724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,32.0,11.0,532.1,0.0,0.0,0.085,46.0,22.0,1.04,0.0,0.0,0.0,1.331,0.0,0.327,0.0,0.0,0.0,0.0,0.0,0.0,42.357246,-71.06,1861,2108.0,3.0,2.5,1998.0,185.620194,11750.0,63.3013022279
31,53.0,0.0,0.005,11.29,5.07,0.0,0.0,0.298,84790141.0,0.0,0.0,0.0,0.661,0.0,0.09,0.0,0.0,0.0,33.0,8.0,0.0,0.298,17.96,0.0,43.0,20.0,0.093,0.0,0.0,0.0,2.768,0.0,0.201,0.0,0.44,0.0,0.0,0.0,49.75,42.356823,-71.067986,2007,2108.0,2.0,2.5,2000.0,185.806,6500.0,34.9827239163
32,56.0,0.0,0.13,15.27,6.221,0.0,1.542,10.08,25811490.0,0.0,1.0,0.0,0.0,0.0,0.386,1.626,11.0,0.0,10.0,2.0,245.7,10.08,2.28,0.0,14.0,0.0,1.019,0.0,0.0,0.238,2.501,0.0,0.902,0.025,0.163,0.0,0.0,0.0,39.45,42.312897,-71.097374,1201,2108.0,2.0,1.0,1000.0,92.903,2300.0,24.7570046177
