,building,walkMbta,numCraigslistHouse,walkUniversity,house,numCraigslistRoom,sky,lake,crime,person,walkSchool,car,walkPark,grass,sidewalk,road
276,0,0,0,0,1.937,0,15.53,42.49,3,4.192,12,4.192,14,0,0.485,3.68
277,0.273,0,0,3,1.356,0,22.1,44.23,6,7.348,13,7.348,10,0,5.863,3.908
278,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
279,0,2,0,1,3.024,0,9.9,48,5,3.346,11,3.346,14,0,3.847,5.144
280,0,1,0,50,1.145,1,6.931,57.06,12,1.556,29,1.556,16,0,8.239,8.833
281,0,1,0,0,0.784,0,30.12,44.89,1,9.411,13,9.411,9,0,1.524,3.324
282,0,1,0,0,1.804,0,42.82,4.56,1,4.028,1,4.028,2,0,1.701,6.518
283,0,6,0,18,0,0,0,0,13,0,35,0,36,0,0,0
284,0,1,0,0,0,0,0,0,9,0,9,0,7,0,0,0
285,0.59,3,0,1,0.805,1,20.4,38.76,5,5.728,8,5.728,17,0,4.073,3.154
286,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
287,0.667,2,0,0,2.256,0,12.4,50.38,3,3.416,6,3.416,5,0,1.792,5.245
288,0,1,0,40,2.647,0,23.99,41.81,6,3.306,30,3.306,10,0,4.734,6.586
289,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
290,0.903,0,0,1,2.765,0,15.82,44.1,1,6.862,8,6.862,4,0,4.472,6.154
291,0,2,0,49,0.716,0,4.871,62.21,9,1.012,34,1.012,14,0,2.069,1.612
292,0,2,0,3,0,6,0,26.9,25,0,18,0,27,0,0,0
293,2.799,0,0,0,1.162,0,42.93,16.46,1,7.328,7,7.328,11,0,3.375,4.108
294,0,0,0,0,1.371,0,6.118,60.42,6,0.006,8,0.006,6,0,5.818,7.334
295,0.735,2,0,0,1.651,0,16.04,40.33,9,1.517,10,1.517,14,0,3.124,5.482
296,0,0,0,1,0,1,0,0.183,2,0,6,0,11,0,0,0
297,0,3,1,20,0,0,0,0,5,0,19,0,20,0,0,0
298,0,1,0,0,0,0,0,0,2,0,10,0,15,0,0,0
299,0,0,2,0,0.13,0,1.98,5.626,2,1.759,5,1.759,10,0,2.098,1.221
300,0,1,0,40,2.647,0,23.99,41.81,6,3.306,30,3.306,10,0,4.734,6.586
301,0,1,0,41,0,0,0,0,6,0,35,0,21,0,0,0
