	Latitude	Longitude	Address	Zip	Price	RoomType	Bathrooms	SQFT	Date
115	42.252857	-71.11705	Hyde Park Boston 02108	2108	2600.0	1	1.0		30/11/2016
116	42.35814	-71.0659	Beacon Hill Boston 02108	2108	2250.0		1.0		30/11/2016
117	42.303974	-71.07125	130 Bowdoin St #805 Boston 02108	2108	2175.0	1	1.0	606	30/11/2016
118	42.297344	-71.07283	407 Washington St Boston 02108	2108	4400.0	3	1.0		30/11/2016
119	42.358063	-71.06974	97 Mount Vernon St #34 Boston 02108	2108	3000.0	1	1.0	600	30/11/2016
120	42.252857	-71.11705	21 Beacon St #9E Boston 02108	2108	2900.0	1	1.0		30/11/2016
121	42.357105	-71.071106	20 Lime St #45 Boston 02108	2108	3500.0	2	1.5		30/11/2016
122	42.303974	-71.07125	130 Bowdoin St #MM805 Boston 02108	2108	2000.0	1	1.0	630	30/11/2016
123	42.303974	-71.07125	130 Bowdoin St #604 Boston 02108	2108	2175.0	1	1.0		30/11/2016
124	42.35851	-71.062584	144 Bowdoin St #M11 Boston 02108	2108	1850.0		1.0		30/11/2016
125	42.303974	-71.07125	Dorchester Boston 02108	2108	2100.0	1	1.0		30/11/2016
126	42.303974	-71.07125	Dorchester Boston 02108	2108	2200.0	1	1.0		30/11/2016
127	42.358063	-71.06974	97 Mount Vernon St Boston 02108	2108	3000.0	1	1.0	1068	30/11/2016
128	42.358234	-71.06547	Beacon Hill Boston 02108	2108	1850.0		1.0		30/11/2016
129	42.35841	-71.06197	15 Beacon St #1010 Boston 02108	2108	2500.0	2	2.0		30/11/2016
130	42.356266	-71.07004	70 Beacon St #5 Boston 02108	2108	5200.0	2	2.0	4035	30/11/2016
131	42.358288	-71.05758	1 Devonshire Pl Boston 02109	2109	2935.0	1Bedroom	1.0	700	30/11/2016
132	42.358288	-71.05758	1 Devonshire Pl Boston 02109	2109	3590.0	2Bedrooms	2.0	900	30/11/2016
133	42.358288	-71.05758	1 Devonshire Pl Boston 02109	2109	11080.0	3Bedrooms	2.0	2218	30/11/2016
134	42.362194	-71.051796	145 Commercial St Boston 02109	2109	2700.0	1Bedroom	1.0	680	30/11/2016
135	42.362194	-71.051796	145 Commercial St Boston 02109	2109	3600.0	2Bedrooms	1.0	1180	30/11/2016
136	42.361675	-71.053185	90 Commercial St #1A Boston 02109	2109	2650.0	1	1.0	780	30/11/2016
137	42.367596	-71.054306	16 Foster St #3NICE Boston 02109	2109	1799.0	1	1.0		30/11/2016
138	42.36499	-71.052605	23 Clark St #5 Boston 02109	2109	2400.0	1	1.0	600	30/11/2016
139	42.362057	-71.053246	North End Boston 02109	2109	3000.0	2	1.0	1200	30/11/2016
140	42.365963	-71.051926	North End Boston 02109	2109	1500.0	1	1.0		30/11/2016
141	42.36513	-71.05145	300 Commercial St #207 Boston 02109	2109	2700.0	1	1.0	754	30/11/2016
142	42.362694	-71.052284	166 Commercial St #1R Boston 02109	2109	2600.0	1	1.0	735	30/11/2016
143	42.366074	-71.05176	39 Salutation St #4B Boston 02109	2109	3400.0	2	1.5	1100	30/11/2016
144	42.36648	-71.05226	16 Battery St #G Boston 02109	2109	2400.0	2	1.0		30/11/2016
145	42.366226	-71.05108	357 Commercial St #12 Boston 02109	2109	1800.0	1	1.0	716	30/11/2016
146	42.36752	-71.05388	472 Commercial St #4 Boston 02109	2109	1800.0	1	1.0	475	30/11/2016
147	42.36414	-71.05193	45 Fleet St #5A Boston 02109	2109	2200.0	1	1.0	464	30/11/2016
148	42.36596	-71.05202	7 Powers Ct Boston 02109	2109	1500.0	1	1.0		30/11/2016
149	42.357876	-71.05435	120 Milk St #26 Boston 02109	2109	3100.0	1	1.0	650	30/11/2016
150	42.362106	-71.053185	99 Fulton St #26 Boston 02109	2109	2500.0	2	1.0	887	30/11/2016
151	42.36652	-71.05189	North End Boston 02109	2109	2650.0		1.0	380	30/11/2016
152	42.36304	-71.05275	North End Boston 02109	2109	4300.0	2	2.0	1240	30/11/2016
153	42.357876	-71.05435	120 Milk St Boston 02109	2109	6000.0	4	4.0	2300	30/11/2016
154	42.357876	-71.05435	120 Milk St #701 Boston 02109	2109	2600.0	1	1.0	700	30/11/2016
155	42.357876	-71.05435	120 Milk St #51 Boston 02109	2109	2595.0	1	1.0		30/11/2016
156	42.357876	-71.05435	120 Milk St #501 Boston 02109	2109	2500.0	1	1.0	700	30/11/2016
157	42.357876	-71.05435	120 Milk St #802 Boston 02109	2109	3000.0	2	2.0	1150	30/11/2016
158	42.366226	-71.05108	357 Commercial St #408 Boston 02109	2109	2950.0	2	1.0	900	30/11/2016
159	42.367596	-71.054306	16 Foster St #3216 Boston 02109	2109	1800.0	1	1.0		30/11/2016
160	42.366226	-71.05108	357 Commercial St #610 Boston 02109	2109	3500.0	2	1.5	905	30/11/2016
161	42.358784	-71.05696	10 Devonshire St Boston 02109	2109	3865.0	2	2.0	1300	30/11/2016
162	42.36648	-71.05226	16 Battery St #54 Boston 02109	2109	2400.0	2	1.0		30/11/2016
163	42.36277	-71.05315	100 Fulton St #4C Boston 02109	2109	2500.0	1	1.0	598	30/11/2016
164	42.35933	-71.05491	126 State St #403 Boston 02109	2109	3350.0	2	2.5	995	30/11/2016
165	42.35933	-71.05491	126 State St #402 Boston 02109	2109	2350.0	1	1.0	600	30/11/2016
166	42.366226	-71.05108	357 Commercial St #703M Boston 02109	2109	2700.0	2	1.5		30/11/2016
