	bathrooms	last_sold_price	zestimate_amount	prices	property_size	zip	zestimate_valuation_range_high	long	tax_year	zestimate_value_change	latitude	status	zestimate_percentile	bedrooms	zestimate_last_updated	zillow_id	address	lat	last_sold_date	tax_value	zillow	year_built	zestimate_valuationRange_low	graph_data_link	home_size	longitude	home_detail_link	home_type	property	map_this_home_link
362	3.0		866608	899,000	6250	02128	909938	-71.032171			42.38124	Apartment For Sale	0	7	11/12/2016	2096638328	225 E Eagle St APT 3, East Boston, MA	42.38111			0.0	1900	823278		2728	-71.02944	http://www.zillow.com/homedetails/225-E-Eagle-St-APT-3-East-Boston-MA-02128/2096638328_zpid/	MultiFamily2To4	0.0	http://www.zillow.com/homes/2096638328_zpid/
363	3.0	750000	1137452	1,249,000	1953	02127	1251197	-71.0481865	2014	-21715	42.338261	Make Me Move®	0	3	11/12/2016	90137035	257 W 3rd St UNIT 1, South Boston, MA	42.3382632	08/12/2013	668700.0	0.0	2008	1057830	http://www.zillow.com/homedetails/257-W-3rd-St-UNIT-1-South-Boston-MA-02127/90137035_zpid/#charts-and-data	1953	-71.048195	http://www.zillow.com/homedetails/257-W-3rd-St-UNIT-1-South-Boston-MA-02127/90137035_zpid/	Condominium	0.0	http://www.zillow.com/homes/90137035_zpid/
364	3.0	550000	626788	689,000	6969	02124	670663	-71.087918	2014	36251	42.28588	Apartment For Sale	0	9	11/12/2016	59117052	35 Harwood St, Dorchester Center, MA	42.28588	08/03/2015	243500.0	0.0	1926	582913	http://www.zillow.com/homedetails/35-Harwood-St-Dorchester-Center-MA-02124/59117052_zpid/#charts-and-data	3864	-71.087918	http://www.zillow.com/homedetails/35-Harwood-St-Dorchester-Center-MA-02124/59117052_zpid/	MultiFamily2To4	0.0	http://www.zillow.com/homes/59117052_zpid/
365	2.0		1434290	1,428,000		02118	1649433	-71.0635677			42.344594	Condo For Sale	0	2	11/12/2016	2096677072	40 Traveler St # 409, Boston, MA	42.3443934			0.0		1190461		1181	-71.064406	http://www.zillow.com/homedetails/40-Traveler-St-409-Boston-MA-02118/2096677072_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096677072_zpid/
366	1.0	669000	1038450	1,100,000	1088	02118	1152680	-71.0804168	2014	-3541	42.34185	Make Me Move®	0	2	11/12/2016	59211031	529 Columbus Ave APT 11, Boston, MA	42.3419147	05/30/2012	656800.0	0.0	1900	944990	http://www.zillow.com/homedetails/529-Columbus-Ave-APT-11-Boston-MA-02118/59211031_zpid/#charts-and-data	1172	-71.080252	http://www.zillow.com/homedetails/529-Columbus-Ave-APT-11-Boston-MA-02118/59211031_zpid/	Condominium	0.0	http://www.zillow.com/homes/59211031_zpid/
367	2.0		769864	799,000		02127	854549	-71.0567485			42.332019	Condo For Sale	0	2	11/12/2016	2096679739	488 Dorchester Ave # 4D, Boston, MA	42.3322323			0.0	2016	677480		1090	-71.056663	http://www.zillow.com/homedetails/488-Dorchester-Ave-4D-Boston-MA-02127/2096679739_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096679739_zpid/
368	3.0		1087679	1,075,000		02127	1337845	-71.0542787			42.338717	New Construction	0	2	11/12/2016	2096589371	45 W 3rd St # 203, Boston, MA	42.342376			0.0		750498		1127	-71.048806	http://www.zillow.com/homedetails/45-W-3rd-St-203-Boston-MA-02127/2096589371_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096589371_zpid/
369	2.0		812792	859,000		02127	902199	-71.0567485			42.332019	Condo For Sale	0	2	11/12/2016	2096679822	488 Dorchester Ave # 4C, Boston, MA	42.3322323			0.0	2016	715257		1160	-71.056663	http://www.zillow.com/homedetails/488-Dorchester-Ave-4C-Boston-MA-02127/2096679822_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096679822_zpid/
370	2.0		437925	449,900	6969	02136	464201	-71.141043	2014	5952	42.240682	House For Sale	0	3	11/12/2016	59129144	11 Vallaro Rd, Boston, MA	42.240679		283100.0	0.0	1935	402891	http://www.zillow.com/homedetails/11-Vallaro-Rd-Boston-MA-02136/59129144_zpid/#charts-and-data	1469	-71.14105	http://www.zillow.com/homedetails/11-Vallaro-Rd-Boston-MA-02136/59129144_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59129144_zpid/
371	3.0	224500	783761	933,000	2613	02128	830787	-71.032201	2015	51472	42.367444	Apartment For Sale	0	6	11/12/2016	59121012	300 Maverick St, Boston, MA	42.367444	12/07/2004	436100.0	0.0	1900	744573	http://www.zillow.com/homedetails/300-Maverick-St-Boston-MA-02128/59121012_zpid/#charts-and-data	3264	-71.032201	http://www.zillow.com/homedetails/300-Maverick-St-Boston-MA-02128/59121012_zpid/	MultiFamily2To4	0.0	http://www.zillow.com/homes/59121012_zpid/
372				269,000	7405	02136		-71.137679	2015		42.234191	Lot/Land For Sale	0		12/31/1969	59129400	4 Lakeside Ave, Boston, MA	42.234191		39500.0	0.0			http://www.zillow.com/homedetails/4-Lakeside-Ave-Boston-MA-02136/59129400_zpid/#charts-and-data		-71.137679	http://www.zillow.com/homedetails/4-Lakeside-Ave-Boston-MA-02136/59129400_zpid/	VacantResidentialLand	0.0	http://www.zillow.com/homes/59129400_zpid/
373	2.0	83000	380725	420,000	3920	02126	399761	-71.1087601	2015	32101	42.267155	House For Sale	0	2	11/12/2016	59213017	14 Roseglen Rd, Hyde Park, MA	42.2671542	01/26/1993	214300.0	0.0	1950	354074	http://www.zillow.com/homedetails/14-Roseglen-Rd-Hyde-Park-MA-02136/59213017_zpid/#charts-and-data	1047	-71.108759	http://www.zillow.com/homedetails/14-Roseglen-Rd-Hyde-Park-MA-02136/59213017_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59213017_zpid/
374	1.0		748805	775,000		02127	861126	-71.0542787			42.338717	New Construction	0	1	11/12/2016	2096542112	45 W 3rd St # 221, Boston, MA	42.342376			0.0		539140		870	-71.048806	http://www.zillow.com/homedetails/45-W-3rd-St-221-Boston-MA-02127/2096542112_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096542112_zpid/
375				399,900	42688	02136		-71.1387595			42.234138	Lot/Land For Sale	0		12/31/1969	2096603862	0 Lakeside Ave, Boston, MA	42.2333722			0.0					-71.137878	http://www.zillow.com/homedetails/0-Lakeside-Ave-Boston-MA-02136/2096603862_zpid/	VacantResidentialLand	0.0	http://www.zillow.com/homes/2096603862_zpid/
376	3.0	415000	659086	820,000	2482	02128	692040	-71.033445	2014	4526	42.378699	For Sale by Owner	0	6	11/12/2016	59124071	168 Princeton St, Boston, MA	42.378699	08/21/2013	301600.0	0.0	1890	606359	http://www.zillow.com/homedetails/168-Princeton-St-Boston-MA-02128/59124071_zpid/#charts-and-data	3234	-71.033445	http://www.zillow.com/homedetails/168-Princeton-St-Boston-MA-02128/59124071_zpid/	MultiFamily2To4	0.0	http://www.zillow.com/homes/59124071_zpid/
377				270,000	10018	02124		-71.0914728			42.286281	Lot/Land For Sale	0		12/31/1969	2096685327	4 & 8 Havelock St, Boston, MA	42.2860148			0.0					-71.092964	http://www.zillow.com/homedetails/4-&-8-Havelock-St-Boston-MA-02124/2096685327_zpid/	VacantResidentialLand	0.0	http://www.zillow.com/homes/2096685327_zpid/
378	1.0		494325	349,900	1300	02128	523985	-71.0373369			42.36836	Coming Soon	0	2	11/12/2016	2096807385	285 Sumner St # 1, East Boston, MA	42.3676			0.0		469609			-71.03884	http://www.zillow.com/homedetails/285-Sumner-St-1-East-Boston-MA-02128/2096807385_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096807385_zpid/
379	1.0	109673	337601	298,000	320	02118	381489	-71.0763005	2015	-15119	42.341573	Condo For Sale	0	0	11/12/2016	59183445	673 Tremont St APT 7, Boston, MA	42.3417357	03/23/2016	195400.0	0.0	1865	310593	http://www.zillow.com/homedetails/673-Tremont-St-APT-7-Boston-MA-02118/59183445_zpid/#charts-and-data	320	-71.076185	http://www.zillow.com/homedetails/673-Tremont-St-APT-7-Boston-MA-02118/59183445_zpid/	Condominium	0.0	http://www.zillow.com/homes/59183445_zpid/
380	1.0	265000	371113	259,000	741	02130	389669	-71.1099901	2014	2675	42.317707	Condo For Sale	0	1	11/12/2016	59132204	15 Adelaide St UNIT 4, Boston, MA	42.3177387	09/28/2006	228500.0	0.0	1905	352557	http://www.zillow.com/homedetails/15-Adelaide-St-UNIT-4-Boston-MA-02130/59132204_zpid/#charts-and-data	741	-71.110221	http://www.zillow.com/homedetails/15-Adelaide-St-UNIT-4-Boston-MA-02130/59132204_zpid/	Condominium	0.0	http://www.zillow.com/homes/59132204_zpid/
381	1.0	224000	559513	440,000	519	02118	587489	-71.0809434	2014	4865	42.341354	Condo For Sale	0	1	11/12/2016	59183022	549 Columbus Ave APT 5, Boston, MA	42.3415573	09/19/2000	323900.0	0.0	1899	520347	http://www.zillow.com/homedetails/549-Columbus-Ave-APT-5-Boston-MA-02118/59183022_zpid/#charts-and-data	519	-71.080889	http://www.zillow.com/homedetails/549-Columbus-Ave-APT-5-Boston-MA-02118/59183022_zpid/	Condominium	0.0	http://www.zillow.com/homes/59183022_zpid/
382	2.0	219000	257661	171,186	689	02121	304040	-71.08039	2014	-1775	42.310062	Condo For Sale	0	2	11/12/2016	71497287	55 Devon St APT 6, Dorchester, MA	42.3100639	10/27/2005	147700.0	0.0	1920	200976	http://www.zillow.com/homedetails/55-Devon-St-APT-6-Dorchester-MA-02121/71497287_zpid/#charts-and-data	689	-71.08039	http://www.zillow.com/homedetails/55-Devon-St-APT-6-Dorchester-MA-02121/71497287_zpid/	Condominium	0.0	http://www.zillow.com/homes/71497287_zpid/
383	1.0	215000	340880	213,100	4356	02136	357924	-71.104749	2015	-332	42.264723	House For Sale	0	3	11/12/2016	59140500	15 Rosemont St, Boston, MA	42.2647212	07/06/2001	201000.0	0.0	1955	306792	http://www.zillow.com/homedetails/15-Rosemont-St-Boston-MA-02126/59140500_zpid/#charts-and-data	1210	-71.104744	http://www.zillow.com/homedetails/15-Rosemont-St-Boston-MA-02126/59140500_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59140500_zpid/
384	1.0		338624	240,000	997	02118	474074	-71.072035	2015	-23216	42.337664	Condo For Sale	0	0	11/12/2016	81856755	735 Harrison Ave APT W102, Boston, MA	42.3378023		252000.0	0.0	2006	277672	http://www.zillow.com/homedetails/735-Harrison-Ave-APT-W102-Boston-MA-02118/81856755_zpid/#charts-and-data	997	-71.071842	http://www.zillow.com/homedetails/735-Harrison-Ave-APT-W102-Boston-MA-02118/81856755_zpid/	Condominium	0.0	http://www.zillow.com/homes/81856755_zpid/
385	1.0		320444	187,900	567	02128	346080	-71.0066833			42.386686	For Sale by Owner	0	1	11/12/2016	2096773120	997 Saratoga St, Boston, MA	42.3865966			0.0	1910	285195		567	-71.006843	http://www.zillow.com/homedetails/997-Saratoga-St-Boston-MA-02128/2096773120_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/2096773120_zpid/
386	1.0	535000	548999	339,900	2613	02128	636839	-71.0331999	2014	-79092	42.378015	Coming Soon	0	3	11/12/2016	59124220	230 Saratoga St, Boston, MA	42.378014	09/04/2015	279200.0	0.0	1910	461159	http://www.zillow.com/homedetails/230-Saratoga-St-Boston-MA-02128/59124220_zpid/#charts-and-data	1200	-71.033201	http://www.zillow.com/homedetails/230-Saratoga-St-Boston-MA-02128/59124220_zpid/	Condominium	0.0	http://www.zillow.com/homes/59124220_zpid/
387	2.0	377000	373358	329,000	710	02130	392026	-71.108972	2014		42.3228	Condo For Sale	0	2	11/12/2016	81860486	11 Mark St UNIT 1, Boston, MA	42.322829	11/07/2016	239900.0	0.0	1896	347223	http://www.zillow.com/homedetails/11-Mark-St-UNIT-1-Boston-MA-02130/81860486_zpid/#charts-and-data	710	-71.108984	http://www.zillow.com/homedetails/11-Mark-St-UNIT-1-Boston-MA-02130/81860486_zpid/	Condominium	0.0	http://www.zillow.com/homes/81860486_zpid/
388	4.0	4800000	8004774	-1	2128	02116	8405013	-71.074113	2014	-143801	42.354352	Foreclosed	0	3	11/12/2016	59172539	37 Marlborough St, Boston, MA	42.354352	06/06/2002	4957500.0	0.0	1890	2401432	http://www.zillow.com/homedetails/37-Marlborough-St-Boston-MA-02116/59172539_zpid/#charts-and-data	6086	-71.074113	http://www.zillow.com/homedetails/37-Marlborough-St-Boston-MA-02116/59172539_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59172539_zpid/
389	1.0	110000	392963	299,900	6500	02122	416541	-71.052713	2014	-4957	42.294259	Condo For Sale	0	3	11/12/2016	82233318	167 King St UNIT 3, Dorchester, MA	42.294123	06/18/2008	202300.0	0.0	1900	361526	http://www.zillow.com/homedetails/167-King-St-UNIT-3-Dorchester-MA-02122/82233318_zpid/#charts-and-data	985	-71.052685	http://www.zillow.com/homedetails/167-King-St-UNIT-3-Dorchester-MA-02122/82233318_zpid/	Condominium	0.0	http://www.zillow.com/homes/82233318_zpid/
390	2.0	280000	346039	300,000	2055	02131	377183	-71.1186921	2014	16663	42.282728	House For Sale	0	3	11/12/2016	59146687	518 Hyde Park Ave, Boston, MA	42.2827269	11/09/2005	190000.0	0.0	1900	304514	http://www.zillow.com/homedetails/518-Hyde-Park-Ave-Boston-MA-02131/59146687_zpid/#charts-and-data	900	-71.118672	http://www.zillow.com/homedetails/518-Hyde-Park-Ave-Boston-MA-02131/59146687_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59146687_zpid/
391	1.0		473145	380,000		02136	515728	-71.1306133			42.271101	House For Sale	0	3	11/12/2016	2097095800	367 Poplar St, Boston, MA	42.2675216			0.0	1942	440025		1300	-71.132006	http://www.zillow.com/homedetails/367-Poplar-St-Boston-MA-02131/2097095800_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/2097095800_zpid/
392	2.0	90000	258371	200,000	1742	02124	276457	-71.0892662	2014	54	42.287797	Townhouse For Sale	0	3	11/12/2016	59102136	23 Ashton St, Dorchester Center, MA	42.2877949	02/11/1992	172700.0	0.0	1991	235118	http://www.zillow.com/homedetails/23-Ashton-St-Dorchester-Center-MA-02124/59102136_zpid/#charts-and-data	1356	-71.089266	http://www.zillow.com/homedetails/23-Ashton-St-Dorchester-Center-MA-02124/59102136_zpid/	Townhouse	0.0	http://www.zillow.com/homes/59102136_zpid/
393	1.0	309000	309134	195,000	871	02122	333865	-71.059433	2014	2668	42.29911	Condo For Sale	0	3	11/12/2016	71496747	117 Park St UNIT 1, Dorchester, MA	42.299112	09/01/2005	170200.0	0.0	1905	272038	http://www.zillow.com/homedetails/117-Park-St-UNIT-1-Dorchester-MA-02122/71496747_zpid/#charts-and-data	856	-71.059433	http://www.zillow.com/homedetails/117-Park-St-UNIT-1-Dorchester-MA-02122/71496747_zpid/	Condominium	0.0	http://www.zillow.com/homes/71496747_zpid/
394	2.0	355000	587146	489,000	1300	02135	634118	-71.1449441	2014	-2917	42.342258	Condo For Sale	0	4	11/12/2016	59092347	1661 Commonwealth Ave APT 1, Boston, MA	42.3422595	09/02/2004	301600.0	0.0	1890	487331	http://www.zillow.com/homedetails/1661-Commonwealth-Ave-APT-1-Boston-MA-02135/59092347_zpid/#charts-and-data	1300	-71.144973	http://www.zillow.com/homedetails/1661-Commonwealth-Ave-APT-1-Boston-MA-02135/59092347_zpid/	Condominium	0.0	http://www.zillow.com/homes/59092347_zpid/
395	1.0		692939	685,000		02116	755304	-71.0757449		-35581	42.345183	Condo For Sale	0	2	11/12/2016	2112209103	370 Columbus Ave # C, Boston, MA	42.3451399			0.0	1870	630574		918	-71.075984	http://www.zillow.com/homedetails/370-Columbus-Ave-C-Boston-MA-02116/2112209103_zpid/	Condominium	0.0	http://www.zillow.com/homes/2112209103_zpid/
396	1.0		484724	419,000		02130	533196	-71.1131124			42.29002	House For Sale	0	2	11/12/2016	2096905014	6 Wayburn Rd, Jamaica Plain, MA	42.2903755			0.0	1938	450793		849	-71.11264	http://www.zillow.com/homedetails/6-Wayburn-Rd-Jamaica-Plain-MA-02130/2096905014_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/2096905014_zpid/
397	1.0	340000	310788	191,900	435	02124	326327	-71.07099	2015	39043	42.282314	Condo For Sale	0	2	11/12/2016	87797429	111 Fuller St APT 1, Dorchester Center, MA	42.282314	11/06/2007	182900.0	0.0	1910	264170	http://www.zillow.com/homedetails/111-Fuller-St-APT-1-Dorchester-Center-MA-02124/87797429_zpid/#charts-and-data	965	-71.070992	http://www.zillow.com/homedetails/111-Fuller-St-APT-1-Dorchester-Center-MA-02124/87797429_zpid/	Condominium	0.0	http://www.zillow.com/homes/87797429_zpid/
398				145,000		02110		-71.0528044			42.35856	Lot/Land For Sale	0		12/31/1969	2097009641	80 Broad St # PS, Boston, MA	42.3577317			0.0					-71.05419	http://www.zillow.com/homedetails/80-Broad-St-PS-Boston-MA-02110/2097009641_zpid/	VacantResidentialLand	0.0	http://www.zillow.com/homes/2097009641_zpid/
399	1.0	340400	679910	541,119	970	02127	713905	-71.0574969	2014	13527	42.341492	Condo For Sale	0	2	11/12/2016	87794251	141 Dorchester Ave UNIT 514, Boston, MA	42.3419516	04/22/2008	434500.0	0.0	2006	639115	http://www.zillow.com/homedetails/141-Dorchester-Ave-UNIT-514-Boston-MA-02127/87794251_zpid/#charts-and-data	970	-71.057221	http://www.zillow.com/homedetails/141-Dorchester-Ave-UNIT-514-Boston-MA-02127/87794251_zpid/	Condominium	0.0	http://www.zillow.com/homes/87794251_zpid/
400	1.0	360000	428132	429,000	370	02116	449539	-71.077498	2014	8640	42.353314	Condo For Sale	0	0	11/12/2016	59171186	119 Marlborough St APT 1, Boston, MA	42.3532103	08/24/2015	234400.0	0.0	1880	406725	http://www.zillow.com/homedetails/119-Marlborough-St-APT-1-Boston-MA-02116/59171186_zpid/#charts-and-data	370	-71.077195	http://www.zillow.com/homedetails/119-Marlborough-St-APT-1-Boston-MA-02116/59171186_zpid/	Condominium	0.0	http://www.zillow.com/homes/59171186_zpid/
401	1.0	301000	420403	369,000	100000000	02130	441423	-71.1132302	2015		42.296607	Condo For Sale	0	3	11/12/2016	67096266	37 Wachusett St # 3, Boston, MA	42.2965962	09/10/2004	298600.0	0.0	1905	399383	http://www.zillow.com/homedetails/37-Wachusett-St-3-Boston-MA-02130/67096266_zpid/#charts-and-data	894	-71.113235	http://www.zillow.com/homedetails/37-Wachusett-St-3-Boston-MA-02130/67096266_zpid/	Condominium	0.0	http://www.zillow.com/homes/67096266_zpid/
402	1.0	745900	915473	829,500	1106	02109	961247	-71.0528959	2014	-1580	42.361807	Condo For Sale	0	2	11/12/2016	59177765	102 Commercial St APT 3, Boston, MA	42.3616862	10/31/2014	555900.0	0.0	1880	869699	http://www.zillow.com/homedetails/102-Commercial-St-APT-3-Boston-MA-02109/59177765_zpid/#charts-and-data	1106	-71.053066	http://www.zillow.com/homedetails/102-Commercial-St-APT-3-Boston-MA-02109/59177765_zpid/	Condominium	0.0	http://www.zillow.com/homes/59177765_zpid/
403	1.0	515000	663994	599,000	976	02114	710474	-71.0592256	2015	-11844	42.366518	Condo For Sale	0	1	11/12/2016	63710744	234 Causeway St APT 712, Boston, MA	42.3666816	05/29/2009	461672.0	0.0	1899	624154	http://www.zillow.com/homedetails/234-Causeway-St-APT-712-Boston-MA-02114/63710744_zpid/#charts-and-data	976	-71.059318	http://www.zillow.com/homedetails/234-Causeway-St-APT-712-Boston-MA-02114/63710744_zpid/	Condominium	0.0	http://www.zillow.com/homes/63710744_zpid/
404	1.0		557251	550,000	531	02116	585114	-71.0773976		1162	42.350734	Condo For Sale	0	1	11/12/2016	2114874765	271 Dartmouth St APT 4J, Boston, MA	42.350652			0.0	1885	523816		531	-71.077606	http://www.zillow.com/homedetails/271-Dartmouth-St-APT-4J-Boston-MA-02116/2114874765_zpid/	Condominium	0.0	http://www.zillow.com/homes/2114874765_zpid/
405	1.0		574264	495,000		02116	614462	-71.0789662			42.346075	Condo For Sale	0	1	11/12/2016	2097249707	40 Saint Botolph St APT B3, Boston, MA	42.346306			0.0	1925	522580		634	-71.079277	http://www.zillow.com/homedetails/40-Saint-Botolph-St-APT-B3-Boston-MA-02116/2097249707_zpid/	Condominium	0.0	http://www.zillow.com/homes/2097249707_zpid/
406	6.0	2087500	9711769	9,600,000	1496	02108	10197357	-71.0710938	2014	28946	42.356911	House For Sale	0	4	11/12/2016	59172817	77 Chestnut St, Boston, MA	42.3569083	09/13/1999	3730400.0	0.0	2001	1942354	http://www.zillow.com/homedetails/77-Chestnut-St-Boston-MA-02108/59172817_zpid/#charts-and-data	6550	-71.0711	http://www.zillow.com/homedetails/77-Chestnut-St-Boston-MA-02108/59172817_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59172817_zpid/
407	3.0	110000	568783	499,000	9583	02124	927116	-71.081354	2015	-837	42.285346	House For Sale	0	4	11/12/2016	59109545	2 Rock Ave, Dorchester Center, MA	42.2853459	11/19/2015	247200.0	0.0	1885	386772	http://www.zillow.com/homedetails/2-Rock-Ave-Dorchester-Center-MA-02124/59109545_zpid/#charts-and-data	2200	-71.081354	http://www.zillow.com/homedetails/2-Rock-Ave-Dorchester-Center-MA-02124/59109545_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59109545_zpid/
408	1.0	244000	571551	549,900		02118	600129	-71.0811805	2014	-20158	42.340092	Condo For Sale	0	1	11/12/2016	59163084	463 Massachusetts Ave APT 3, Boston, MA	42.3400413	05/21/1999	391300.0	0.0	1899	542973	http://www.zillow.com/homedetails/463-Massachusetts-Ave-APT-3-Boston-MA-02118/59163084_zpid/#charts-and-data	786	-71.081215	http://www.zillow.com/homedetails/463-Massachusetts-Ave-APT-3-Boston-MA-02118/59163084_zpid/	Condominium	0.0	http://www.zillow.com/homes/59163084_zpid/
409	1.0	103250	371743	289,000	2613	02131	390330	-71.1372451	2015	1154	42.293149	House For Sale	0	2	11/12/2016	59141962	120 Ardale St, Boston, MA	42.2931312	12/20/1991	239900.0	0.0	1937	349438	http://www.zillow.com/homedetails/120-Ardale-St-Boston-MA-02131/59141962_zpid/#charts-and-data	816	-71.137237	http://www.zillow.com/homedetails/120-Ardale-St-Boston-MA-02131/59141962_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59141962_zpid/
410	2.0		395454	343,333		02120	423136	-71.1082722		13001	42.328263	Condo For Sale	0	2	11/12/2016	2098487394	15 Ellingwood St # 42, Boston, MA	42.3283817			0.0	1989	351954		1289	-71.107972	http://www.zillow.com/homedetails/15-Ellingwood-St-42-Boston-MA-02120/2098487394_zpid/	Condominium	0.0	http://www.zillow.com/homes/2098487394_zpid/
411	2.0	180000	256450	189,000		02136	287224	-71.1131568		-5158	42.270816	Townhouse For Sale	0	2	11/12/2016	2099615299	33 Victoria Heights Rd, Boston, MA	42.2706706	05/12/2016		0.0	1987	200031		1155	-71.113105	http://www.zillow.com/homedetails/33-Victoria-Heights-Rd-Boston-MA-02136/2099615299_zpid/	Townhouse	0.0	http://www.zillow.com/homes/2099615299_zpid/
412	1.0	105000	315243	274,500	5338	02119	337310	-71.0756287	2014	3357	42.327115	Condo For Sale	0	3	11/12/2016	71505075	235 Eustis St UNIT 2, Roxbury, MA	42.3271119	07/29/2008	187800.0	0.0	2004	290024	http://www.zillow.com/homedetails/235-Eustis-St-UNIT-2-Roxbury-MA-02119/71505075_zpid/#charts-and-data	778	-71.075606	http://www.zillow.com/homedetails/235-Eustis-St-UNIT-2-Roxbury-MA-02119/71505075_zpid/	Condominium	0.0	http://www.zillow.com/homes/71505075_zpid/
413	1.0		321407	289,000		02121	340691	-71.0793846			42.311103	Condo For Sale	0	4	11/12/2016	2096717546	49 Intervale St # 1, Boston, MA	42.3111045			0.0	1905	298909		1200	-71.079368	http://www.zillow.com/homedetails/49-Intervale-St-1-Boston-MA-02121/2096717546_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096717546_zpid/
414	2.0		559680	549,997		02127	598858	-71.0295204	2014	27864	42.337937	Condo For Sale	0	2	11/12/2016	87796296	9 O St UNIT 2, South Boston, MA	42.3379265		322100.0	0.0	1890	520502	http://www.zillow.com/homedetails/9-O-St-UNIT-2-South-Boston-MA-02127/87796296_zpid/#charts-and-data	766	-71.029483	http://www.zillow.com/homedetails/9-O-St-UNIT-2-South-Boston-MA-02127/87796296_zpid/	Condominium	0.0	http://www.zillow.com/homes/87796296_zpid/
415	3.0		460001	399,000	1842	02124	483001	-71.0733048			42.280639	For Sale by Owner	0	3	11/12/2016	2097243242	56 Fairmount St, Boston, MA	42.2806741			0.0	2007	437001		1144	-71.073368	http://www.zillow.com/homedetails/56-Fairmount-St-Boston-MA-02124/2097243242_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/2097243242_zpid/
416	7.0		7619122	12,950,000	2613	02108	8000078	-71.0647326		-223657	42.357872	House For Sale	0	6	11/12/2016	2102432900	6 Mount Vernon Pl, Boston, MA	42.3578652			0.0	1830	685721		7500	-71.064735	http://www.zillow.com/homedetails/6-Mount-Vernon-Pl-Boston-MA-02108/2102432900_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/2102432900_zpid/
417	1.0	645000	888998	949,000	885	02115	960118	-71.0868505	2014	-1943	42.350724	Condo For Sale	0	2	11/12/2016	59169063	363 Marlborough St APT 9, Boston, MA	42.3508227	11/29/2010	652500.0	0.0	1880	826768	http://www.zillow.com/homedetails/363-Marlborough-St-APT-9-Boston-MA-02115/59169063_zpid/#charts-and-data	885	-71.086785	http://www.zillow.com/homedetails/363-Marlborough-St-APT-9-Boston-MA-02115/59169063_zpid/	Condominium	0.0	http://www.zillow.com/homes/59169063_zpid/
418	1.0	574000	733632	695,000	770	02116	770314	-71.0800177	2014	2904	42.344997	Condo For Sale	0	2	11/12/2016	59179239	19 Follen St APT 4, Boston, MA	42.3451668	08/20/2012	509300.0	0.0	1890	696950	http://www.zillow.com/homedetails/19-Follen-St-APT-4-Boston-MA-02116/59179239_zpid/#charts-and-data	770	-71.079818	http://www.zillow.com/homedetails/19-Follen-St-APT-4-Boston-MA-02116/59179239_zpid/	Condominium	0.0	http://www.zillow.com/homes/59179239_zpid/
419	1.0	315000	450603	379,000	1393	02118	477639	-71.0791392	2014	2405	42.337509	Condo For Sale	0	2	11/12/2016	59184431	177 Northampton St APT 1, Boston, MA	42.3372636	10/17/2012	332500.0	0.0	1905	410049	http://www.zillow.com/homedetails/177-Northampton-St-APT-1-Boston-MA-02118/59184431_zpid/#charts-and-data	634	-71.079406	http://www.zillow.com/homedetails/177-Northampton-St-APT-1-Boston-MA-02118/59184431_zpid/	Condominium	0.0	http://www.zillow.com/homes/59184431_zpid/
420	1.0	415000	579867	549,000	710	02113	608860	-71.0567253	2014	8935	42.365031	Condo For Sale	0	2	11/12/2016	59212065	62 N Margin St APT 2, Boston, MA	42.3649258	06/08/2007	396800.0	0.0	1910	550874	http://www.zillow.com/homedetails/62-N-Margin-St-APT-2-Boston-MA-02113/59212065_zpid/#charts-and-data	710	-71.056779	http://www.zillow.com/homedetails/62-N-Margin-St-APT-2-Boston-MA-02113/59212065_zpid/	Condominium	0.0	http://www.zillow.com/homes/59212065_zpid/
421	1.0	332000	632252	1,850,000	999	02108	720767	-71.067244	2015	5529	42.356893	House For Sale	0	0	11/12/2016	59172636	21 Chestnut St, Boston, MA	42.3577722	10/06/2005	370800.0	0.0	1900	556382	http://www.zillow.com/homedetails/82-Chestnut-St-APT-21-Boston-MA-02108/59172636_zpid/#charts-and-data	413	-71.070075	http://www.zillow.com/homedetails/82-Chestnut-St-APT-21-Boston-MA-02108/59172636_zpid/	MultiFamily2To4	0.0	http://www.zillow.com/homes/59172636_zpid/
