	bathrooms	last_sold_price	zestimate_amount	prices	property_size	zip	zestimate_valuation_range_high	long	tax_year	zestimate_value_change	latitude	status	zestimate_percentile	bedrooms	zestimate_last_updated	zillow_id	address	lat	last_sold_date	tax_value	zillow	year_built	zestimate_valuationRange_low	graph_data_link	home_size	longitude	home_detail_link	home_type	property	map_this_home_link
52	1.0	104000	194210	188,000	483	02131	211689	-71.1289168	2015	3534	42.284797	For Sale by Owner	0	1	11/12/2016	59143988	79 Poplar St APT 4, Boston, MA	42.2849218	08/16/2013	98800.0	0.0	1930	170905	http://www.zillow.com/homedetails/79-Poplar-St-APT-4-Boston-MA-02131/59143988_zpid/#charts-and-data	483	-71.128726	http://www.zillow.com/homedetails/79-Poplar-St-APT-4-Boston-MA-02131/59143988_zpid/	Condominium	0.0	http://www.zillow.com/homes/59143988_zpid/
53	2.0		618591	409,900	6534	02124	655706	-71.065326	2014	6566	42.287206	House For Sale	0	5	11/12/2016	59105103	521 Talbot Ave, Dorchester Center, MA	42.287206		320300.0	0.0	1910	587661	http://www.zillow.com/homedetails/521-Talbot-Ave-Dorchester-Center-MA-02124/59105103_zpid/#charts-and-data	3113	-71.065326	http://www.zillow.com/homedetails/521-Talbot-Ave-Dorchester-Center-MA-02124/59105103_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59105103_zpid/
54				3,500,000		02114		-71.0669497			42.36595	Condo For Sale	0	0	12/31/1969	2096356275	6 Whittier Pl # 101-105, Boston, MA	42.3657336			0.0				4866	-71.06754	http://www.zillow.com/homedetails/6-Whittier-Pl-101-105-Boston-MA-02114/2096356275_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096356275_zpid/
55	1.0			469,900		02114		-71.0669497			42.36595	Condo For Sale	0	5	12/31/1969	2096356393	6 Whittier Pl # 105S, Boston, MA	42.3657336			0.0				788	-71.06754	http://www.zillow.com/homedetails/6-Whittier-Pl-105S-Boston-MA-02114/2096356393_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096356393_zpid/
56	2.0			437,500		02114		-71.0669497			42.36595	Condo For Sale	0	4	12/31/1969	2096356452	6 Whittier Pl # 103, Boston, MA	42.3657336			0.0				733	-71.06754	http://www.zillow.com/homedetails/6-Whittier-Pl-103-Boston-MA-02114/2096356452_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096356452_zpid/
57	2.0		433524	439,900	739	02114	485547	-71.0669497	2006	2379	42.365455	Condo For Sale	0	4	11/12/2016	59179900	6 Whittier Pl UNIT 105N, Boston, MA	42.3657336		145000.0	0.0		342484	http://www.zillow.com/homedetails/6-Whittier-Pl-UNIT-105N-Boston-MA-02114/59179900_zpid/#charts-and-data	739	-71.068189	http://www.zillow.com/homedetails/6-Whittier-Pl-UNIT-105N-Boston-MA-02114/59179900_zpid/	Condominium	0.0	http://www.zillow.com/homes/59179900_zpid/
58	1.0	93900	485592	425,000		02127	519583	-71.0502016	2014	8510	42.337494	Condo For Sale	0	2	11/12/2016	59147650	350 W 4th St APT 301, Boston, MA	42.3374932	10/02/1995	289700.0	0.0	1899	456456	http://www.zillow.com/homedetails/350-W-4th-St-APT-301-Boston-MA-02127/59147650_zpid/#charts-and-data	789	-71.050202	http://www.zillow.com/homedetails/350-W-4th-St-APT-301-Boston-MA-02127/59147650_zpid/	Condominium	0.0	http://www.zillow.com/homes/59147650_zpid/
59	2.0			675,000		02114		-71.0669497			42.36595	Condo For Sale	0	9	12/31/1969	2096356707	6 Whittier Pl # 102, Boston, MA	42.3657336			0.0				1145	-71.06754	http://www.zillow.com/homedetails/6-Whittier-Pl-102-Boston-MA-02114/2096356707_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096356707_zpid/
60	2.0			569,900		02114		-71.0669497			42.36595	Condo For Sale	0	5	12/31/1969	2096356824	6 Whittier Pl # 101, Boston, MA	42.3657336			0.0				952	-71.06754	http://www.zillow.com/homedetails/6-Whittier-Pl-101-Boston-MA-02114/2096356824_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096356824_zpid/
61	2.0			749,000		02127		-71.054051			42.33145	Condo For Sale	0	4	12/31/1969	2096357183	321 Dorchester St # 2, Boston, MA	42.331281			0.0				1400	-71.05343	http://www.zillow.com/homedetails/321-Dorchester-St-2-Boston-MA-02127/2096357183_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096357183_zpid/
62	1.0	262500	317952	315,000	871	02132	333850	-71.1550438	2014	4057	42.285332	For Sale by Owner	0	2	11/12/2016	67096365	17 Hastings St APT 3, Boston, MA	42.2853085	08/06/2014	183400.0	0.0	1930	295695	http://www.zillow.com/homedetails/17-Hastings-St-APT-3-Boston-MA-02132/67096365_zpid/#charts-and-data	703	-71.155037	http://www.zillow.com/homedetails/17-Hastings-St-APT-3-Boston-MA-02132/67096365_zpid/	Condominium	0.0	http://www.zillow.com/homes/67096365_zpid/
