longitude,latitude,bathrooms,last_sold_price,zestimate_amount,prices,property_size,zip,zestimate_valuation_range_high,long,tax_year,zestimate_value_change,status,zestimate_percentile,bedrooms,zestimate_last_updated,zillow_id,address,lat,last_sold_date,tax_value,zillow,year_built,zestimate_valuationRange_low,graph_data_link,home_size,home_detail_link,home_type,property,map_this_home_link
-71.048806,42.338717,2,,,"1,195,000",,2127,,-71.0542787,,,New Construction,0,2,12/31/1969,2096367727,"45 W 3rd St # 410, Boston, MA",42.342376,,,0,,,,1250,http://www.zillow.com/homedetails/45-W-3rd-St-410-Boston-MA-02127/2096367727_zpid/,Condominium,0,http://www.zillow.com/homes/2096367727_zpid/
-71.059339,42.352627,1,525000,858577,"825,000",,2111,901506,-71.0592399,2014,40290,Condo For Sale,0,1,11/12/2016,71546197,"88 Kingston St UNIT 1F, Boston, MA",42.3526558,08/21/2013,532300,0,1899,815648,http://www.zillow.com/homedetails/88-Kingston-St-UNIT-1F-Boston-MA-02111/71546197_zpid/#charts-and-data,1051,http://www.zillow.com/homedetails/88-Kingston-St-UNIT-1F-Boston-MA-02111/71546197_zpid/,Condominium,0,http://www.zillow.com/homes/71546197_zpid/
-71.048806,42.338717,1,,,"735,000",,2127,,-71.0542787,,,New Construction,0,1,12/31/1969,2096367728,"45 W 3rd St # 401, Boston, MA",42.342376,,,0,,,,755,http://www.zillow.com/homedetails/45-W-3rd-St-401-Boston-MA-02127/2096367728_zpid/,Condominium,0,http://www.zillow.com/homes/2096367728_zpid/
-71.040138,42.375031,1,,,"348,000",,2128,,-71.0396313,,,Condo For Sale,0,0,12/31/1969,2096369134,"225 Border St, Boston, MA",42.375902,,,0,2016,,,450,http://www.zillow.com/homedetails/225-Border-St-Boston-MA-02128/2096369134_zpid/,Condominium,0,http://www.zillow.com/homes/2096369134_zpid/
-71.049526,42.288834,4,,,"799,000",,2122,,-71.0486505,,,Condo For Sale,0,3,12/31/1969,2096363796,"47 Coffey St # 0, Boston, MA",42.288965,,,0,,,,1800,http://www.zillow.com/homedetails/47-Coffey-St-0-Boston-MA-02122/2096363796_zpid/,Condominium,0,http://www.zillow.com/homes/2096363796_zpid/
-71.06837,42.322406,4,,,"549,900",,2119,,-71.068565,,,Condo For Sale,0,3,12/31/1969,2096376271,"31 Robey St # 31, Boston, MA",42.322304,,,0,2016,,,1700,http://www.zillow.com/homedetails/31-Robey-St-31-Boston-MA-02119/2096376271_zpid/,Condominium,0,http://www.zillow.com/homes/2096376271_zpid/
-71.03569,42.374401,2,,,"590,000",,2128,,-71.035687,,,Condo For Sale,0,2,12/31/1969,2096375497,"186-188 Paris St # 8, Boston, MA",42.374401,,,0,2016,,,991,http://www.zillow.com/homedetails/186-188-Paris-St-8-Boston-MA-02128/2096375497_zpid/,Condominium,0,http://www.zillow.com/homes/2096375497_zpid/
-71.092124,42.319999,2,141500,213837,"226,970",,2119,241636,-71.0919591,2014,-143659,Condo For Sale,0,2,11/12/2016,81856655,"18 Brinton St UNIT 2, Roxbury, MA",42.320036,05/30/2007,189600,0,2006,186038,http://www.zillow.com/homedetails/18-Brinton-St-UNIT-2-Roxbury-MA-02119/81856655_zpid/#charts-and-data,1307,http://www.zillow.com/homedetails/18-Brinton-St-UNIT-2-Roxbury-MA-02119/81856655_zpid/,Condominium,0,http://www.zillow.com/homes/81856655_zpid/
-71.076304,42.352174,2,277000,1051110,"999,000",,2116,1145710,-71.0768204,2015,-61029,Condo For Sale,0,1,11/12/2016,59176559,"118 Commonwealth Ave UNIT 4, Boston, MA",42.3519146,09/01/1987,755200,0,1885,967021,http://www.zillow.com/homedetails/118-Commonwealth-Ave-UNIT-4-Boston-MA-02116/59176559_zpid/#charts-and-data,1010,http://www.zillow.com/homedetails/118-Commonwealth-Ave-UNIT-4-Boston-MA-02116/59176559_zpid/,Condominium,0,http://www.zillow.com/homes/59176559_zpid/
-71.048806,42.338717,1,,,"730,000",,2127,,-71.0542787,,,New Construction,0,1,12/31/1969,2096367726,"45 W 3rd St # 418, Boston, MA",42.342376,,,0,,,,774,http://www.zillow.com/homedetails/45-W-3rd-St-418-Boston-MA-02127/2096367726_zpid/,Condominium,0,http://www.zillow.com/homes/2096367726_zpid/
