,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky
28,0,0.001,70.23,4.077,0,0,0.218,23884728,0,0,0,0,0,0,0.168,6,0,13,2,0,0.218,0,0,7,0,1.916,0,0.003,0.343,1.772,0,0.03,0,0,0,0,0,12.48
29,0,0.001,70.23,4.077,0,0,0.218,23884728,0,0,0,0,0,0,0.168,6,0,13,2,0,0.218,0,0,7,0,1.916,0,0.003,0.343,1.772,0,0.03,0,0,0,0,0,12.48
30,1.783,0,66.22,1.271,0,8.961,0.239,25332093,0,0,0,0,1.008,0,0,9,0,8,1,0,0.239,0.031,0.005,5,0,0.262,0,0.003,0,0.908,0,0.197,0.001,0,5.05,0,0,0.091
31,0,0,0,0,0,0,0,209154155,0,0,0,0,0,0,0,10,0,30,10,335.7,0,0,0,46,22,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1.783,0,66.22,1.271,0,8.961,0.239,25332093,0,0,0,0,1.008,0,0,9,0,8,1,0,0.239,0.031,0.005,5,0,0.262,0,0.003,0,0.908,0,0.197,0.001,0,5.05,0,0,0.091
33,0,0,0.183,0,0,0.001,0,13234534,0,0,0,0,0,0,0,5,0,13,2,8.9,0,0,0,7,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
34,0,0,0,0,0,0,0,13660400,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,2.447,0.099,0,0.001,0.023,6067821,0,0,0.006,0,0,0,0,1,0,11,0,0,0.023,2.697,0.069,17,0,0.765,0,0,0.108,0.013,0.004,0.162,0,0,0,0,0,2.129
36,0,0,64.47,2.905,0,0.008,0.223,31038055,0,0,0,0,0,0,1.645,7,0,14,2,58.5,0.223,0.006,0.207,9,0,4.977,0,0,0,0.288,0,0.167,0,0,0,0,2,14.18
37,0,0,0.321,4.04,0,0.001,0.614,12854318,0,0,0,0,0,0,0,4,0,14,1,0,0.614,0.304,0.155,14,1,0.527,0,0.001,0,0.457,0,0.203,0,0,0,0,0,5.967
38,0,0.177,61.21,2.199,0,1.066,1.62,115954000,0,0,0,0,0,0,0,24,0,21,2,73.2,1.62,0.001,0.179,27,3,6.874,0,0,0.008,2.622,0,0.051,0,0,0,0,0,18.76
39,1.783,0,66.22,1.271,0,8.961,0.239,25332093,0,0,0,0,1.008,0,0,9,0,8,1,0,0.239,0.031,0.005,5,0,0.262,0,0.003,0,0.908,0,0.197,0.001,0,5.05,0,0,0.091
40,0,0.12,42,2.84,0,0.697,1.841,11510993,0,0,0,0.029,0,0,0.121,4,0,9,0,0,1.841,3.9,0.302,16,0,3.292,0,0.336,0.003,1.758,0.094,1.223,0.495,0,0,0,0,6.394
41,0,0.028,51.78,1.808,0,0.078,3.405,38034736,0,0,0,0.024,0,0.001,5.204,4,0,8,0,0,3.405,0.56,0.714,6,1,0.302,0,0,0.313,4.386,0,0.721,0.066,0,0,0,0,21.54
42,0,0,0,0,0,0,0,243090896,0,0,0,0,0,0,0,19,0,35,9,263.7,0,0,0,53,24,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,89.47,3.715,0,0.743,0,269677724,0,0,0,0,0,0,0,30,0,32,11,532.1,0,0,0.085,46,22,1.04,0,0,0,1.331,0,0.327,0,0,0,0,0,0
44,0,0,3.164,3.643,0,23.25,0,164498300,0,1,0,0,22.25,0,0,3,0,18,6,371.4,0,0,0,34,10,0.788,0,0.027,0,0,3.876,0.205,0.586,0,0,2.708,0,0
45,0,0.144,16.47,8.564,0,6.528,2.562,10987900,0,0,0,0,0,0,0.245,5,0,10,0,10.5,2.562,0.011,0.137,14,1,1.438,0,0,2.013,7.338,0,0.174,0.213,0,0,0,1,22.37
46,0,0.059,37.7,3.171,0,1.295,10.95,16015890,0,0,0,0,0,0.098,4.616,1,0,4,0,0,10.95,4.291,0,9,1,1.691,0,0,0,3.286,0,0.249,0.001,0,0,0,0,20.67
47,0,0,0,0,0,0,0,16203037,0,0,0,0,0,0,0,4,0,9,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0.059,37.7,3.171,0,1.295,10.95,16015890,0,0,0,0,0,0.098,4.616,1,0,4,0,0,10.95,4.291,0,9,1,1.691,0,0,0,3.286,0,0.249,0.001,0,0,0,0,20.67
