pixelBuilding,walkMbta,numCraigslistHouse,walkUniversity,pixelHouse,numCraigslistRoom,pixelSky,pixelLake,numCrime,pixelPerson,walkSchool,pixelCar,walkPark,pixelGrass,pixelSidewalk,pixelRoad,Latitude,Longitude,Zip,Bathrooms,SQFT,Price
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,1500,5200
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,,5200
0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75,42.358154,-71.06831,2108,1.5,,2600
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,2000
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,2000
0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703,42.357964,-71.05945,2108,1,,2300
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.358242,-71.06506,2108,1,,1850
0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715,42.357246,-71.06,2108,4,2837,35000
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.35684,-71.06867,2108,2,1400,3695
0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75,42.35809,-71.0658,2108,1,,2200
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.35807,-71.069046,2108,1.5,,3000
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,768,2200
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,570,2400
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,2050
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.35824,-71.06534,2108,1,,2300
0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703,42.35803,-71.06001,2108,1,,2700
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.3581,-71.069336,2108,2,900,3200
0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0,42.252857,-71.11705,2108,1,700,2970
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.357105,-71.071106,2108,1,450,1925
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.355816,-71.06178,2108,2,,6000
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.35824,-71.06534,2108,1,526,2250
0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715,42.357246,-71.06,2108,2,1317,5500
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.358257,-71.064705,2108,1,,3800
0,0,0,0,3.797,0,28.66,21.7,6,7.972,12,7.972,17,0,3.109,7.778,42.301266,-71.07714,2108,2,1000,3675
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.35824,-71.06534,2108,1,650,2300
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.3579,-71.0638,2108,1,600,2950
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.358536,-71.06259,2108,1,,1995
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.358242,-71.06506,2108,1,,2300
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.357105,-71.071106,2108,1,450,1950
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.35824,-71.06534,2108,1,,2300
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,2000
0,8,0,20,2.768,0,49.75,11.29,0,0.298,33,0.298,43,0,0.093,5.07,42.356724,-71.06812,2108,2,1400,5850
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,,2100
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,,2250
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.35548,-71.06084,2108,1,,2850
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.355816,-71.06178,2108,2,,4700
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,2100
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.355778,-71.0724,2108,1,500,2000
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.355778,-71.0724,2108,1.5,1100,3300
0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75,42.35793,-71.06789,2108,1,730,2990
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.357758,-71.06894,2108,3.5,9999,7000
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,1850
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,2050
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,1800
0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0,42.252857,-71.11705,2108,1,,2600
0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75,42.35814,-71.0659,2108,1,,2250
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,606,2175
0,1,0,0,0,0,0,0,6,0,11,0,7,0,0,0,42.297344,-71.07283,2108,1,,4400
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.358063,-71.06974,2108,1,600,3000
0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0,42.252857,-71.11705,2108,1,,2900
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.357105,-71.071106,2108,1.5,,3500
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,630,2000
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,,2175
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,1850
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,,2100
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,,2200
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.358063,-71.06974,2108,1,1068,3000
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.358234,-71.06547,2108,1,,1850
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35841,-71.06197,2108,2,,2500
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.07004,2108,2,4035,5200
0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703,42.358288,-71.05758,2109,1,700,2935
0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703,42.358288,-71.05758,2109,2,900,3590
0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703,42.358288,-71.05758,2109,2,2218,11080
0,4,0,6,0,0,0,0,3,0,10,0,29,0,0,0,42.362194,-71.051796,2109,1,680,2700
0,4,0,6,0,0,0,0,3,0,10,0,29,0,0,0,42.362194,-71.051796,2109,1,1180,3600
0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238,42.361675,-71.053185,2109,1,780,2650
0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716,42.367596,-71.054306,2109,1,,1799
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36499,-71.052605,2109,1,600,2400
0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238,42.362057,-71.053246,2109,1,1200,3000
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.365963,-71.051926,2109,1,,1500
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.36513,-71.05145,2109,1,754,2700
0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067,42.362694,-71.052284,2109,1,735,2600
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366074,-71.05176,2109,1.5,1100,3400
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36648,-71.05226,2109,1,,2400
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366226,-71.05108,2109,1,716,1800
