prices,longitude,latitude
44.5310759635,-71.1009,42.326983
27.7407407407,-71.157809,42.258456
68.6440677966,-71.062776,42.373801
62.0574482298,-71.043535,42.344982
19.8675496689,-71.101982,42.264904
34.8651348651,-71.06329,42.30649
64.0217391304,-71.027296,42.33423
65.447667087,-71.053014,42.374939
50.187826087,-71.053321,42.336296
40.7459535538,-71.067425,42.381294
30.5300713558,-71.111672,42.256967
39.0694789082,-71.121505,42.287002
99.2366412214,-71.06564,42.359361
48.3641536273,-71.105117,42.319747
108.787878788,-71.07758,42.344754
23.7539598733,-71.017793,42.384783
91.0,-71.097823,42.341585
47.1733086191,-71.061454,42.31253
62.9370629371,-71.066499,42.36353
57.4936494496,-71.067116,42.378693
34.7388596071,-71.042579,42.331198
125.0,-71.076339,42.354118
31.0375816993,-71.125465,42.265968
35.3694581281,-71.06329,42.30649
119.718309859,-71.08819,42.345768
31.6983695652,-71.04131,42.335111
45.8837772397,-71.027664,42.38116
50.6779661017,-71.116193,42.303795
46.7088607595,-71.03774,42.372528
17.6769230769,-71.119156,42.271836
41.125,-71.033325,42.376312
108.65497076,-71.062437,42.353388
89.9159663866,-71.091111,42.342842
187.844611529,-71.073684,42.352891
13.2666666667,-71.077346,42.311534
38.7605042017,-71.011379,42.386308
69.4795351187,-71.062409,42.376339
34.5055970149,-71.171331,42.278772
29.1723202171,-71.05167,42.29379
20.5626715462,-71.135391,42.351506
118.75,-71.050984,42.363842
24.2475124378,-70.997947,42.388927
25.9315016936,-71.065177,42.296724
63.044892648,-71.058746,42.374206
46.218487395,-71.03587,42.32961
35.1600387973,-71.042652,42.331196
51.1396011396,-71.02738,42.38123
113.134057971,-71.0643,42.3446
73.6171906088,-71.050234,42.374417
27.2341115435,-71.030729,42.380063
37.45,-71.039001,42.38187
79.3900184843,-71.043159,42.335853
109.968102073,-71.064406,42.344594
108.595641646,-71.060478,42.363594
28.2076079948,-71.038663,42.378587
68.3650190114,-71.035886,42.329594
34.7136563877,-71.055572,42.296354
31.1217008798,-71.032171,42.38111
44.4015444015,-71.069465,42.271663
52.1801346801,-71.037338,42.377548
34.9481802844,-71.042648,42.331195
98.7091875475,-71.035865,42.32959
44.437037037,-71.032333,42.367069
25.0,-71.091266,42.314037
37.037037037,-71.030736,42.36591
80.9351618705,-71.029785,42.334274
49.9888888889,-71.016921,42.382091
14.0388768898,-71.115165,42.251413
51.1,-71.016921,42.382091
28.9655172414,-71.052022,42.293834
26.3671875,-71.119036,42.262398
50.4098360656,-71.027664,42.38116
48.1884057971,-71.14814,42.33728
22.6172465961,-71.093373,42.283602
99.8237367803,-71.056088,42.363359
37.158546169,-71.032432,42.371398
33.3589546503,-71.163192,42.352818
121.052631579,-71.08914,42.350909
33.2073434125,-70.942791,42.170749
78.9516129032,-71.07904,42.338671
38.2165605096,-71.104202,42.327511
76.1151079137,-71.039642,42.332798
72.641509434,-71.0948,42.34402
25.4544545455,-71.075645,42.327102
40.2419354839,-71.077726,42.382792
29.6213808463,-71.163886,42.272448
31.6923076923,-71.093208,42.311912
206.956521739,-71.08554,42.35165
97.5,-71.074061,42.346074
81.466395112,-71.093212,42.348769
73.3082706767,-71.035957,42.337128
64.375,-71.09732,42.344108
32.1319018405,-71.131548,42.271877
13.3022946458,-71.07652,42.294537
75.7166947723,-71.036979,42.333381
66.4761904762,-71.095954,42.325637
36.7592592593,-71.030326,42.366092
131.862745098,-71.071984,42.356597
31.45,-71.133469,42.275072
84.8522167488,-71.097823,42.341585
24.3433910665,-71.085987,42.323645
110.0,-71.069082,42.340937
23.6930789133,-71.075343,42.31084
82.3618470855,-71.049569,42.361741
49.6273291925,-71.148837,42.354372
81.4965986395,-71.08819,42.345768
34.2540331492,-71.165733,42.286972
46.6015037594,-71.051977,42.312216
91.1764705882,-71.074258,42.33943
31.25,-71.118555,42.286348
69.4267515924,-71.066997,42.379947
37.0552560647,-71.138745,42.284025
30.4333107651,-71.12577,42.307226
62.0315581854,-71.053014,42.374939
25.75,-71.13198,42.248683
92.2562141491,-71.075141,42.344979
69.6167247387,-71.064102,42.364303
71.3058419244,-71.052338,42.333626
98.8559322034,-71.052726,42.357677
33.9550191991,-71.16712,42.28886
52.7272727273,-71.141314,42.345499
37.1077184054,-71.159748,42.287884
45.7787481805,-71.031471,42.334678
46.3263727765,-71.106163,42.303352
47.4489795918,-71.055905,42.320541
23.6669435216,-71.140814,42.242651
72.641509434,-71.095222,42.342501
34.797979798,-71.150961,42.281635
138.036809816,-71.071319,42.341941
38.1154499151,-71.138665,42.351385
34.9663784822,-71.144584,42.27354
35.8788853162,-71.055627,42.316912
114.626129827,-71.080955,42.343601
106.0,-71.074558,42.344624
13.3825944171,-71.073934,42.302617
45.8464773922,-71.103312,42.319334
47.5308641975,-71.052696,42.315799
65.5650319829,-71.0529,42.374795
50.0515995872,-71.055905,42.320541
34.6975088968,-71.063934,42.271949
16.5188470067,-71.083803,42.295348
54.5200372787,-71.105026,42.328102
50.2645502646,-71.03569,42.374401
110.935023772,-71.077796,42.344139
26.0932944606,-71.057253,42.291009
76.3843648208,-71.047531,42.337501
17.0807453416,-71.073684,42.323154
70.830519919,-71.067198,42.380387
114.051094891,-71.068276,42.35937
90.4010519395,-71.068458,42.342105
75.4827875735,-71.097442,42.329395
97.5205640423,-71.08817,42.342339
31.25,-71.149421,42.343591
38.8425925926,-71.169751,42.269486
219.557195572,-71.088447,42.351444
24.3842364532,-71.057159,42.295879
109.116453325,-71.072327,42.346425
218.226256983,-71.078259,42.348719
34.9944444444,-71.14566,42.279533
36.2585391487,-71.0915,42.3228
27.2452606635,-71.145896,42.280601
189.873417722,-71.073379,42.355525
101.436265709,-71.072189,42.357849
38.0589914367,-71.113896,42.28619
57.0844686649,-71.149394,42.340418
27.3082942097,-71.114272,42.263035
45.7568807339,-71.032727,42.381543
54.2188805347,-71.035812,42.33113
85.0,-71.033925,42.332291
74.8930099857,-71.053014,42.374939
