pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,longitude,latitude,bathrooms,last_sold_price,zestimate_amount,prices,property_size,zip,zestimate_valuation_range_high,long,tax_year,zestimate_value_change,status,zestimate_percentile,bedrooms,zestimate_last_updated,zillow_id,address,lat,last_sold_date,tax_value,zillow,year_built,zestimate_valuationRange_low,graph_data_link,home_size,home_detail_link,home_type,property,map_this_home_link
0,0.032,62.09,3.816,0,0.038,3.715,12743204,0,0,0,0,0,0,1.116,6,0,7,1,0,3.715,1.048,0,15,0,1.263,0,0.018,0,2.011,0,0.095,0.055,0,0,0,0,3.314,-71.052345,42.295223,2,,472901,479000 ,,2122,501275,-71.0522963,,,Condo For Sale,0,3,11/12/2016,2096881071,"29 Houghton St # 1, Boston, MA",42.295264,,,0,1900,439798,,1400,http://www.zillow.com/homedetails/29-Houghton-St-1-Boston-MA-02122/2096881071_zpid/,Condominium,0,http://www.zillow.com/homes/2096881071_zpid/
0,0.04,55.92,8.555,0,0.282,0.175,14893757,0,1,0,0.008,0,0,0,1,0,6,1,54.6,0.175,1.899,0,15,0,1.21,0,0,0,1.886,0,0.098,0,0,0.279,0,0,3.031,-71.055931,42.331474,3,,899088,875000 ,,2127,1123860,-71.0559853,,-17891,Condo For Sale,0,3,11/12/2016,2107330626,"28 Woodward St # 1, Boston, MA",42.3314431,,,0,2016,674316,,1700,http://www.zillow.com/homedetails/28-Woodward-St-1-Boston-MA-02127/2107330626_zpid/,Condominium,0,http://www.zillow.com/homes/2107330626_zpid/
0,0,0,0,0,0,0,17118500,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.123093,42.291848,2,250000,621969,549500 ,5530,2131,653067,-71.1230212,2014,-8375,Condo For Sale,0,3,11/12/2016,59144888,"12 Mosgrove Ave, Boston, MA",42.2919334,2/25/2015,382100,0,1901,590871,http://www.zillow.com/homedetails/12-Mosgrove-Ave-Boston-MA-02131/59144888_zpid/#charts-and-data,1950,http://www.zillow.com/homedetails/12-Mosgrove-Ave-Boston-MA-02131/59144888_zpid/,Condominium,0,http://www.zillow.com/homes/59144888_zpid/
0,0,0.183,0,0,0.001,0,24592900,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,-71.044724,42.299416,2,474680,787351,769000 ,,2122,826719,-71.0446874,2014,7402,Condo For Sale,0,2,11/12/2016,56605009,"235 Victory Rd UNIT 235, Quincy, MA",42.2994295,11/24/1999,630200,0,1999,747983,http://www.zillow.com/homedetails/235-Victory-Rd-UNIT-235-Quincy-MA-02171/56605009_zpid/#charts-and-data,2286,http://www.zillow.com/homedetails/235-Victory-Rd-UNIT-235-Quincy-MA-02171/56605009_zpid/,Condominium,0,http://www.zillow.com/homes/56605009_zpid/
0,0,0.183,0,0,0.001,0,27637885,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,14,4,0,0,0,0,0,0,0.2,0,0,0,0,1,0,-71.13047,42.34912,1,,420929,549000 ,,2134,446185,-71.131332,,16295,For Sale by Owner,0,2,11/12/2016,2097576158,"29 Brainerd Rd, Boston, MA",42.3486087,,,0,1904,378836,,850,http://www.zillow.com/homedetails/29-Brainerd-Rd-Boston-MA-02134/2097576158_zpid/,Condominium,0,http://www.zillow.com/homes/2097576158_zpid/
0,0.071,43.54,5.434,0,1.434,2.297,22357799,0,0,0,0,0,0,2.904,2,0,9,3,119.9,2.297,0.01,0.12,14,1,5.507,0,0,0,3.806,0,0.186,0,0,0,0,0,15.87,-71.115613,42.307212,2.5,,,749000 ,,2130,,-71.1157648,,,Townhouse For Sale,0,3,12/31/1969,2096375498,"5 Atwood Sq # 5, Boston, MA",42.3072151,,,0,2016,,,1603,http://www.zillow.com/homedetails/5-Atwood-Sq-5-Boston-MA-02130/2096375498_zpid/,Townhouse,0,http://www.zillow.com/homes/2096375498_zpid/
0,0.016,17.74,7.538,0,2.908,5.515,11287700,0,0,0.01,0,0,0.179,1.129,0,0,9,0,0,5.515,3.318,0,9,0,2.703,0,0.383,0.16,3.3,0,0.134,0,0,0,0,0,45.49,-71.165045,42.280911,2,,530517,425000 ,5662,2132,562348,-71.165045,2014,425,House For Sale,0,4,11/12/2016,59158025,"60 Sanborn Ave, Boston, MA",42.280911,,368900,0,1925,503991,http://www.zillow.com/homedetails/60-Sanborn-Ave-Boston-MA-02132/59158025_zpid/#charts-and-data,1692,http://www.zillow.com/homedetails/60-Sanborn-Ave-Boston-MA-02132/59158025_zpid/,SingleFamily,0,http://www.zillow.com/homes/59158025_zpid/
0,0,0,0,0,0,0,25060825,0,0,0,0,0,0,0,6,0,52,0,1081.3,0,0,0,20,74,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.101933,42.343872,2,,,1913600 ,,2215,,-71.1018938,,,Condo For Sale,0,2,12/31/1969,2096368520,"188 Brookline Ave # 20-5, Boston, MA",42.3440043,,,0,,,,1296,http://www.zillow.com/homedetails/188-Brookline-Ave-20-5-Boston-MA-02215/2096368520_zpid/,Condominium,0,http://www.zillow.com/homes/2096368520_zpid/
0,0.001,70.23,4.077,0,0,0.218,23884728,0,0,0,0,0,0,0.168,6,0,13,2,0,0.218,0,0,7,0,1.916,0,0.003,0.343,1.772,0,0.03,0,0,0,0,0,12.48,-71.036964,42.375465,1,,,299000 ,,2128,,-71.0369686,,,Condo For Sale,0,2,12/31/1969,2096368919,"51 Bennington St # 1B, Boston, MA",42.3754691,,,0,2015,,,850,http://www.zillow.com/homedetails/51-Bennington-St-1B-Boston-MA-02128/2096368919_zpid/,Condominium,0,http://www.zillow.com/homes/2096368919_zpid/
0,0.001,70.23,4.077,0,0,0.218,23884728,0,0,0,0,0,0,0.168,6,0,13,2,0,0.218,0,0,7,0,1.916,0,0.003,0.343,1.772,0,0.03,0,0,0,0,0,12.48,-71.036964,42.375465,2,,,424900 ,,2128,,-71.0369686,,,Condo For Sale,0,4,12/31/1969,2096368818,"51 Bennington St # 2, Boston, MA",42.3754691,,,0,2016,,,1225,http://www.zillow.com/homedetails/51-Bennington-St-2-Boston-MA-02128/2096368818_zpid/,Condominium,0,http://www.zillow.com/homes/2096368818_zpid/
